DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
32,1560.716787,1555.498689,1412.62328,1403.315844,1295.881409,1480.832671,1451.086595,1292.655468,0.10718,0.03155,0.00688,0.05457,0.18619,0.18849,0.17402,0.19014, 
33,1560.773466,1555.841513,1412.529262,1403.187878,1295.884219,1481.047922,1451.031618,1292.531962,0.11047,0.03319,0.00359,0.05128,0.19145,0.1977,0.17633,0.1931, 
34,1560.993415,1556.208906,1412.766579,1403.343096,1295.856554,1481.072572,1451.181641,1292.570912,0.10389,0.03155,0.00524,0.05292,0.20658,0.20757,0.18849,0.20757, 
35,1560.690406,1556.380474,1412.487482,1403.035725,1295.67547,1480.813498,1450.838928,1292.199789,0.10718,0.02661,0.01017,0.05457,0.21316,0.21776,0.19869,0.21677, 
36,1561.246989,1557.316586,1412.697562,1403.500598,1295.836563,1481.07882,1450.91397,1292.554037,0.10554,0.02826,0.00688,0.05457,0.22269,0.22763,0.2102,0.23355, 
37,1561.305701,1557.808049,1412.539869,1403.503692,1295.861286,1480.985985,1450.715797,1292.530707,0.10718,0.02826,0.00688,0.05128,0.23157,0.24144,0.2171,0.23618, 
38,1561.711418,1558.967679,1412.740638,1403.886675,1295.959697,1481.200194,1450.786908,1292.745707,0.10225,0.02826,0.00853,0.05128,0.23946,0.24604,0.22368,0.24867, 
39,1561.834301,1558.185367,1413.093728,1403.794265,1297.238512,1481.541919,1452.342678,1293.973292,0.10718,0.03155,0.01017,0.05457,0.24604,0.26281,0.23289,0.25459, 
40,1560.903323,1558.825642,1412.506213,1402.911565,1296.128264,1481.096127,1450.750524,1292.561352,0.10718,0.0299,0.00524,0.05292,0.25854,0.27301,0.24867,0.2763, 
41,1561.025854,1557.468425,1412.430839,1403.105062,1296.166097,1481.003604,1451.38574,1292.861238,0.10883,0.0299,0.00688,0.05457,0.2592,0.27432,0.24703,0.27367, 
42,1561.360508,1557.443687,1412.675625,1403.295877,1295.826341,1480.981011,1451.043123,1292.490005,0.10718,0.0299,0.00359,0.05292,0.27794,0.28715,0.26216,0.29373, 
43,1560.068432,1557.052226,1411.972668,1402.018524,1295.68532,1480.956819,1450.836118,1292.387031,0.10389,0.03319,0.00359,0.05128,0.28189,0.29636,0.26676,0.29405, 
44,1563.163792,1558.526234,1413.630711,1405.185276,1296.988709,1482.21001,1452.049481,1293.702118,0.10389,0.03484,0.00853,0.04963,0.29274,0.30589,0.27761,0.31181, 
45,1561.02118,1557.472412,1412.624857,1402.757631,1295.684095,1481.273672,1450.738632,1292.213945,0.10554,0.03155,0.00853,0.05292,0.30326,0.31707,0.28813,0.32234, 
46,1561.103996,1557.777458,1412.588973,1402.912943,1296.231019,1481.457869,1451.093108,1292.791723,0.10061,0.03484,0.0151,0.05457,0.30754,0.32431,0.29603,0.33023, 
47,1561.879551,1557.854535,1412.857002,1403.800372,1296.373502,1481.938626,1451.408097,1292.972606,0.10718,0.03484,0.01017,0.0595,0.32299,0.34009,0.30326,0.34404, 
